PC_HL|MENO|PRIEZVISKO|TITUL|VEK|ZAMESTNANIE|OBEC|POZNAMKA
1|"Meno_1"|"Priezvisko_1"|"Tit._1"|21|"Zamestnanie_1"|"Obec_1"|
2|"Meno_2"|"Priezvisko_2"|"Tit._2"|22|"Zamestnanie_2"|"Obec_2"|
3|"Meno_3"|"Priezvisko_3"|"Tit._3"|23|"Zamestnanie_3"|"Obec_3"|
4|"Meno_4"|"Priezvisko_4"|"Tit._4"|24|"Zamestnanie_4"|"Obec_4"|
5|"Meno_5"|"Priezvisko_5"|"Tit._5"|25|"Zamestnanie_5"|"Obec_5"|
6|"Meno_6"|"Priezvisko_6"|"Tit._6"|26|"Zamestnanie_6"|"Obec_6"|
7|"Meno_7"|"Priezvisko_7"|"Tit._7"|27|"Zamestnanie_7"|"Obec_7"|
8|"Meno_8"|"Priezvisko_8"|"Tit._8"|28|"Zamestnanie_8"|"Obec_8"|
9|"Meno_9"|"Priezvisko_9"|"Tit._9"|29|"Zamestnanie_9"|"Obec_9"|
10|"Meno_10"|"Priezvisko_10"|"Tit._10"|30|"Zamestnanie_10"|"Obec_10"|
11|"Meno_11"|"Priezvisko_11"|"Tit._11"|31|"Zamestnanie_11"|"Obec_11"|
