"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Kód obce","Názov obce","Okrsok","Počet zapísaných voličov","Počet zúčastnených voličov","Účasť voličov v %","Počet odovzdaných obálok","Podiel odovzdaných obálok v %","Počet platných hlasov pre všetkých kandidátov","Podiel platných hlasov pre všetkých kandidátov v %"
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",1,1291,971,75.21,971,100.00,967,99.58
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",2,1137,868,76.34,867,99.88,866,99.76
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",3,927,833,89.85,833,100.00,829,99.51
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",4,1073,773,72.04,773,100.00,762,98.57
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",5,1449,1063,73.36,1063,100.00,1058,99.52
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",6,1480,1091,73.71,1091,100.00,1084,99.35
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",7,1875,1573,83.89,1572,99.93,1563,99.36
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",8,1223,912,74.57,912,100.00,897,98.35
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",9,1856,888,47.84,888,100.00,885,99.66
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",10,1535,1211,78.89,1211,100.00,1206,99.58
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",11,1039,814,78.34,814,100.00,813,99.87
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",12,895,661,73.85,661,100.00,658,99.54
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",13,1100,802,72.90,802,100.00,802,100.00
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",14,1079,801,74.23,801,100.00,794,99.12
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",15,1379,1037,75.19,1037,100.00,1032,99.51
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",16,1177,903,76.72,903,100.00,902,99.88
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",17,1037,842,81.19,842,100.00,835,99.16
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",18,1531,995,64.99,995,100.00,992,99.69
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",19,981,749,76.35,749,100.00,747,99.73
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",20,1152,885,76.82,885,100.00,878,99.20
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",21,1060,802,75.66,802,100.00,799,99.62
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",22,1239,865,69.81,865,100.00,861,99.53
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",23,988,672,68.01,672,100.00,668,99.40
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",24,997,723,72.51,722,99.86,720,99.58
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",25,1005,710,70.64,710,100.00,708,99.71
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",26,1369,1023,74.72,1022,99.90,1021,99.80
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",27,1373,1037,75.52,1037,100.00,1031,99.42
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",28,1020,747,73.23,747,100.00,745,99.73
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",29,1496,1241,82.95,1237,99.67,1228,98.95
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",30,1063,775,72.90,775,100.00,762,98.32
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",31,1206,852,70.64,852,100.00,844,99.06
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",32,1408,949,67.40,949,100.00,942,99.26
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",33,1212,884,72.93,884,100.00,883,99.88
