IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,víťaz,Korčok,Pellegrini
500011,Nitra,78489,48.3008691,18.0861155,500011.0,Pellegrini,5.82,94.18
500020,Alekšince,1699,48.3553515,17.9560658,500020.0,Pellegrini,25.0,75.0
500046,Báb,1195,48.2995085,17.8772558,500046.0,Korčok,0.0,0.0
500062,Beladice,1666,48.3391457,18.2901583,500062.0,Pellegrini,20.0,80.0
500071,Branč,2168,48.2136214,18.145517,500071.0,Pellegrini,25.0,75.0
500101,Čakajovce,1163,48.3731662,18.0398708,500101.0,Pellegrini,0.0,100.0
500127,Čaradice,512,48.3697463,18.5053147,500127.0,Korčok,50.0,50.0
500135,Čeľadice,1078,48.3174988,18.2450801,500135.0,Pellegrini,0.0,100.0
500151,Čierne Kľačany,1168,48.3564351,18.4482756,500151.0,Pellegrini,7.69,92.31
500160,Čifáre,596,48.2422969,18.4037826,500160.0,Korčok,50.0,50.0
500194,Dolné Obdokovce - Alsóbodok,1140,48.3063621,18.2164425,500194.0,Pellegrini,33.33,66.67
500232,Golianovo,1892,48.2678523,18.2073347,500232.0,Pellegrini,11.11,88.89
500241,Hájske,1346,48.2576534,17.8732145,500241.0,Pellegrini,25.0,75.0
500267,Záhorie (vojenský obvod),147,48.3298547,17.1472567,500267.0,Pellegrini,0.0,100.0
500283,Hostie,1209,48.4643536,18.4412699,500283.0,Pellegrini,25.0,75.0
500305,Hosťovce (ZM),750,48.4420484,18.3458862,500305.0,Korčok,66.67,33.33
500313,Hruboňovo,526,48.4465253,18.026133,500313.0,Pellegrini,0.0,100.0
500321,Choča,501,48.3548663,18.3253193,500321.0,Pellegrini,0.0,100.0
500348,Zubák,829,49.151216,18.186276,500348.0,Pellegrini,22.22,77.78
500356,Jarok,2065,48.2713441,17.9611337,500356.0,Pellegrini,0.0,100.0
500364,Jedľové Kostoľany,887,48.4783589,18.5045939,500364.0,Pellegrini,33.33,66.67
500372,Jelenec - Gímes,2075,48.3915438,18.2179182,500372.0,Pellegrini,0.0,100.0
500381,Jelšovce,988,48.3850455,18.0621678,500381.0,Korčok,66.67,33.33
500399,Kapince,184,48.4503322,17.9729479,500399.0,Korčok,0.0,0.0
500402,Klasov - Kalász,1426,48.2677543,18.2581438,500402.0,Pellegrini,33.33,66.67
500411,Kolíňany - Kolon,1551,48.3525799,18.2196557,500411.0,Pellegrini,0.0,100.0
500429,Kostoľany pod Tribečom,344,48.4304673,18.2331271,500429.0,Korčok,0.0,0.0
500437,Ladice - Barslédec,758,48.392138,18.2713903,500437.0,Pellegrini,0.0,100.0
500453,Lehota,2382,48.3138935,17.9903629,500453.0,Pellegrini,0.0,100.0
500461,Lovce,699,48.4623097,18.3563174,500461.0,Korčok,100.0,0.0
500470,Lúčnica nad Žitavou,957,48.2120413,18.2733573,500470.0,Pellegrini,0.0,100.0
500488,Lukáčovce,1167,48.3957958,17.9353151,500488.0,Pellegrini,0.0,100.0
500500,Machulince,1101,48.4123979,18.4500759,500500.0,Pellegrini,0.0,100.0
500518,Veľké Chyndice,338,48.2856616,18.2874085,500518.0,Pellegrini,0.0,100.0
500534,Malé Zálužie,266,48.435782,17.9839318,500534.0,Korčok,0.0,0.0
500542,Mankovce,528,48.421587,18.328842,500542.0,Korčok,0.0,0.0
500551,Martin nad Žitavou,535,48.3940694,18.3551247,500551.0,Pellegrini,0.0,100.0
500569,Melek,497,48.2021869,18.3321367,500569.0,Pellegrini,33.33,66.67
500577,Mojmírovce,2922,48.2011947,18.0644879,500577.0,Pellegrini,14.29,85.71
500585,Nemčiňany,654,48.3019881,18.4497633,500585.0,Pellegrini,0.0,100.0
500593,Neverice,692,48.3650626,18.2784108,500593.0,Korčok,0.0,0.0
500607,Nevidzany (ZM),583,48.2828559,18.3786424,500607.0,Pellegrini,0.0,100.0
500631,Nová Ves nad Žitavou,1338,48.2853228,18.3239076,500631.0,Pellegrini,33.33,66.67
500640,Nové Sady,1296,48.4206989,17.9625527,500640.0,Pellegrini,0.0,100.0
500658,Obyce,1510,48.4305965,18.4912106,500658.0,Pellegrini,42.86,57.14
500666,Paňa,392,48.2321714,18.2364409,500666.0,Korčok,0.0,0.0
