IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
500011,Nitra,78489,48.3008691,18.0861155,500011.0,Korčok,0.05,0.76,0.25,10.09,48.5,0.38,2.02,1.39,0.09,36.38,0.08
500020,Alekšince,1699,48.3553515,17.9560658,500020.0,Pellegrini,0.14,0.41,0.14,11.0,28.06,1.38,1.1,1.24,0.41,56.12,0.0
500046,Báb,1195,48.2995085,17.8772558,500046.0,Pellegrini,0.0,0.0,0.0,18.87,30.13,0.18,1.45,3.09,0.0,46.28,0.0
500062,Beladice,1666,48.3391457,18.2901583,500062.0,Pellegrini,0.13,0.51,0.13,13.42,32.78,1.14,0.89,1.14,0.63,49.24,0.0
500071,Branč,2168,48.2136214,18.145517,500071.0,Korčok,0.11,0.33,6.45,12.35,42.19,0.33,0.98,3.61,0.11,33.55,0.0
500101,Čakajovce,1163,48.3731662,18.0398708,500101.0,Pellegrini,0.0,0.74,0.0,12.92,33.95,0.55,1.48,2.03,0.0,47.79,0.55
500127,Čaradice,512,48.3697463,18.5053147,500127.0,Pellegrini,0.46,0.46,0.0,11.52,39.17,0.92,4.15,2.76,0.46,40.09,0.0
500135,Čeľadice,1078,48.3174988,18.2450801,500135.0,Pellegrini,0.0,0.21,0.0,14.43,34.43,0.82,2.27,0.62,0.21,45.98,1.03
500151,Čierne Kľačany,1168,48.3564351,18.4482756,500151.0,Pellegrini,0.18,2.13,0.0,16.49,31.74,0.89,1.77,0.53,0.0,46.28,0.0
500160,Čifáre,596,48.2422969,18.4037826,500160.0,Pellegrini,0.45,0.45,5.36,12.5,32.14,0.45,0.0,0.45,0.45,46.43,1.34
500194,Dolné Obdokovce - Alsóbodok,1140,48.3063621,18.2164425,500194.0,Korčok,0.22,0.43,24.13,6.96,43.26,0.0,1.52,3.7,0.22,19.57,0.0
500232,Golianovo,1892,48.2678523,18.2073347,500232.0,Pellegrini,0.22,1.72,0.32,10.99,37.18,0.0,1.4,1.94,0.22,45.8,0.22
500241,Hájske,1346,48.2576534,17.8732145,500241.0,Pellegrini,0.17,0.52,0.0,12.37,37.28,0.87,1.92,1.74,0.0,44.77,0.35
500267,Záhorie (vojenský obvod),147,48.3298547,17.1472567,500267.0,Pellegrini,0.0,1.32,0.0,21.05,18.42,2.63,5.26,0.0,0.0,51.32,0.0
500283,Hostie,1209,48.4643536,18.4412699,500283.0,Pellegrini,0.17,0.52,0.0,14.83,29.84,1.05,1.22,1.75,0.17,50.44,0.0
500305,Hosťovce (ZM),750,48.4420484,18.3458862,500305.0,Pellegrini,0.56,0.28,0.0,15.41,28.01,0.28,0.56,1.12,0.28,53.22,0.28
500313,Hruboňovo,526,48.4465253,18.026133,500313.0,Pellegrini,0.0,0.38,0.0,16.15,34.62,0.38,0.77,1.54,0.0,46.15,0.0
500321,Choča,501,48.3548663,18.3253193,500321.0,Pellegrini,0.0,0.42,0.42,15.25,25.85,0.0,1.27,0.42,0.0,55.93,0.42
500348,Zubák,829,49.151216,18.186276,500348.0,Pellegrini,0.6,2.08,0.0,19.35,27.68,0.3,0.89,2.38,0.3,46.43,0.0
500356,Jarok,2065,48.2713441,17.9611337,500356.0,Korčok,0.0,0.95,0.11,11.25,41.75,0.53,2.1,2.73,0.0,40.38,0.21
500364,Jedľové Kostoľany,887,48.4783589,18.5045939,500364.0,Pellegrini,0.24,0.48,0.0,18.94,22.3,0.48,2.88,0.24,0.0,54.44,0.0
500372,Jelenec - Gímes,2075,48.3915438,18.2179182,500372.0,Korčok,0.0,0.81,9.78,10.94,39.35,0.81,1.63,2.56,0.0,33.99,0.12
500381,Jelšovce,988,48.3850455,18.0621678,500381.0,Pellegrini,0.48,0.24,0.48,13.67,38.37,0.96,1.2,3.12,1.2,40.05,0.24
500399,Kapince,184,48.4503322,17.9729479,500399.0,Pellegrini,0.0,0.0,0.0,12.9,25.81,1.08,0.0,0.0,0.0,60.22,0.0
500402,Klasov - Kalász,1426,48.2677543,18.2581438,500402.0,Korčok,0.18,0.35,10.27,8.5,42.48,0.0,1.24,2.12,0.35,34.16,0.35
500411,Kolíňany - Kolon,1551,48.3525799,18.2196557,500411.0,Korčok,0.0,0.17,15.42,8.79,46.43,0.17,1.16,3.15,0.33,24.05,0.33
500429,Kostoľany pod Tribečom,344,48.4304673,18.2331271,500429.0,Pellegrini,0.0,0.0,0.0,11.35,30.81,0.0,2.7,2.16,0.0,52.97,0.0
500437,Ladice - Barslédec,758,48.392138,18.2713903,500437.0,Korčok,0.0,0.32,8.97,15.71,38.14,0.32,0.32,4.17,0.0,32.05,0.0
500453,Lehota,2382,48.3138935,17.9903629,500453.0,Pellegrini,0.0,0.76,0.08,15.14,33.73,0.5,2.1,1.01,0.08,46.43,0.17
500461,Lovce,699,48.4623097,18.3563174,500461.0,Pellegrini,0.29,0.0,0.0,12.64,23.56,0.29,2.3,1.72,0.29,58.91,0.0
500470,Lúčnica nad Žitavou,957,48.2120413,18.2733573,500470.0,Pellegrini,0.0,0.41,0.0,20.82,27.63,0.0,1.86,1.86,0.0,47.42,0.0
500488,Lukáčovce,1167,48.3957958,17.9353151,500488.0,Pellegrini,0.0,1.2,0.2,15.94,38.45,0.2,1.39,2.59,0.0,40.04,0.0
