OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|3|3500|2010|2000|1985|05.03.2024 10:50:00
102|4|4350|2815|2745|2738|
103|12|12610|8950|8769|8680|
104|4|4800|2120|2010|1720|
105|30|28559|19898|19355|18826|
106|11|9145|6310|6299|6167|
107|10|11909|7126|7094|6818|
108|12|10665|6210|6178|6134|
201|33|25556|14107|13639|13124|
202|20|15657|8978|8885|8773|
203|2|1250|680|680|670|
204|17|12421|7669|7643|7549|
205|15|13818|7707|7706|7296|
206|14|3570|2275|2274|2179|
207|33|34317|23784|23466|22014|
301|14|9139|5859|5807|5720|
302|20|15568|10716|10488|10178|
303|3|2770|1720|1710|1660|
304|37|27172|18388|18123|17553|
305|1|980|900|860|840|
306|13|9565|7536|7435|7129|
307|34|23415|16260|16092|15533|
308|8|6540|4631|4629|4594|
309|17|10332|7231|6956|6774|
401|17|12602|5910|5885|5074|
402|33|16015|9235|9183|9032|
403|49|35622|23597|21239|20472|
404|44|32554|18705|18625|17051|
405|27|24242|16323|14944|14387|
406|31|19282|11762|11625|11189|
407|8|7813|5200|5164|5118|
501|15|11462|7517|7504|7419|
502|37|31510|16653|16620|16107|
503|15|10626|6806|6697|6537|
504|11|7965|5083|5069|4807|
505|22|14855|9466|9105|9000|
506|11|6837|4158|4158|4056|
507|26|22435|14484|14311|14044|
508|20|13807|9071|8929|8597|
509|6|3491|1796|1796|1752|
510|8|5173|3676|3624|3608|
511|46|33030|21338|21034|20609|
601|41|20663|12338|12283|11976|
602|6|5857|3905|3883|3800|
603|15|8698|5096|5072|4730|
604|28|15374|8807|8767|8510|
605|24|11106|8074|7511|7087|
606|60|30021|15435|15261|14645|
607|28|12226|7618|7584|7339|
608|20|9476|5692|5659|5405|
609|40|18093|11102|10907|10486|
610|21|10097|6022|5684|5509|
611|42|48718|33988|33882|29665|
612|5|2649|1906|1900|1878|
613|8|4894|2936|2934|2907|
701|16|6345|4343|4283|4122|
702|23|13935|9335|8952|8525|
703|17|7073|5047|5007|4905|
704|2|770|560|560|553|
705|1|150|100|100|99|
706|12|5861|3972|3926|3812|
707|18|12120|9061|8865|8536|
708|7|5192|3925|3925|3696|
709|17|13658|8126|8104|7592|
710|22|12016|7394|7340|7052|
711|27|8897|6213|6153|5914|
712|14|8684|5768|5684|5411|
713|22|13302|9608|9386|8634|
801|10|6635|3010|3010|2907|
802|12|11480|5570|5539|5350|
803|2|1210|557|553|550|
805|5|3824|2224|2199|2153|
806|34|24932|13782|13675|13296|
807|78|44748|24301|23967|22757|
808|38|16329|9128|9077|8660|
809|24|8443|5215|5159|4763|
810|46|34598|20017|19709|18866|
811|18|12074|6114|6111|5871|
